"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"Financial Accounting For Beginners","financial-accounting-for-beginners","True",60,164,3,22,"All Levels",1.5,"2016-09-25","Business Finance"
"Trading: How Transformative Learning Drives Expertise","trading-how-transformative-learning-drives-expertise","True",30,69,2,16,"All Levels",1,"2013-07-15","Business Finance"
"Manual Bookkeeping","manual-bookkeeping","True",20,28,2,26,"Intermediate Level",2.5,"2015-07-24","Business Finance"
"Numeracy skills in business and everyday life:Think and Deal","numeracy-skills-in-business-and-everyday-life-think-and-deal","True",20,90,4,15,"Beginner Level",0.63,"2016-10-11","Business Finance"
"Financial Modelling in Excel Step by Step","financial-modelling-course-using-excel","True",20,13,2,17,"Intermediate Level",1.5,"2016-05-05","Business Finance"
"Straight From Business School: Create Financial Statements","straight-from-business-school-create-financial-statements","True",20,31,2,5,"Beginner Level",1,"2013-11-28","Business Finance"
"How To Pay Less Tax (UK version)","paylesstax","True",50,13,2,98,"All Levels",0.52,"2016-01-19","Business Finance"
"Interpreting financial statements","financial-statements-focused-on-cash-flows","False",0,2119,111,54,"All Levels",2,"2015-10-28","Business Finance"
"Forex trading with binary options","forex-trading-with-binary-options","True",25,136,28,21,"All Levels",3,"2016-05-16","Business Finance"
"Triple P Trading Course","triple-p-trading-course","True",20,797,15,16,"All Levels",3,"2013-12-24","Business Finance"
"Cost Accounting - A Comprehensive Study","cost-accounting-a-comprehensive-study","True",180,503,43,286,"All Levels",29.5,"2015-04-26","Business Finance"
"How to become a successful day trader","a-successful-day-trader","True",95,1150,6,27,"All Levels",2.5,"2015-05-25","Business Finance"
"Essentials of Finance and Investment in 2 hours","finance-hien-minh-luu","True",20,1403,6,14,"Beginner Level",2,"2015-06-01","Business Finance"
"Public Speaking: You Can Give Great Financial Presentations","how-to-give-financial-presentations","True",20,916,6,23,"All Levels",6.5,"2014-12-11","Business Finance"
"Professional Trading - Consistent Profits with Low Risk!","professional-trading-consistent-profits-with-low-risk","True",20,627,5,27,"All Levels",1,"2015-10-17","Business Finance"
"Trading for winning","charting-for-beginners-for-dummies-newbies-technical-analysis","True",200,168,7,27,"All Levels",2,"2017-01-23","Business Finance"
"Succeed in Stocks Even if you Don't Know Where to Start","succeed-in-stocks-even-if-you-dont-know-where-to-start","False",0,2554,20,10,"Beginner Level",1,"2017-03-09","Business Finance"
"Options Basics & Trading With Small Capital! - Level 1","options-basics-trading-with-small-capital","True",30,120,17,19,"Beginner Level",2,"2016-07-26","Business Finance"
"Forex trading Basic to advance Professional Level course","forex-trading-basic-to-advance-professional-level-course","True",20,750,13,28,"All Levels",2.5,"2016-05-05","Business Finance"
"Day Trading in Stocks: Strategies for Beginner Investors","day-trading-in-stocks-strategies-for-beginner-investors","True",50,217,19,9,"All Levels",2,"2015-01-08","Business Finance"
"Learn to Trade Forex Big U-Turn Trade","learn-to-trade-forex-big-u-turn-trade","True",50,106,13,12,"Beginner Level",1,"2016-02-24","Business Finance"
"Technical Analysis Primer for trading Stocks Bonds & Forex","technical-analysis-made-easy","True",50,397,4,36,"Beginner Level",3,"2015-11-23","Business Finance"
"DIY: Reduce Unpaid Federal Tax thru  IRS Offer in Compromise","diy-reduce-unpaid-federal-tax-thru-irs-offer-in-compromise","True",20,44,3,8,"All Levels",1,"2015-03-26","Business Finance"
"Stock Trading with this Strategy","stock-trading-with-this-strategy","True",50,30,3,6,"All Levels",1,"2015-08-13","Business Finance"
"The Psychology of Trading","the-psychology-of-trading","True",20,95,3,20,"All Levels",1,"2017-02-02","Business Finance"
"Professional Forex Strategy+2 weeks for FREE trading alerts","forex-candlesticks-strategy","True",95,55,9,15,"All Levels",1,"2016-03-29","Business Finance"
"Stock Trading Essentials for Day Traders","stock-trading-essentials-for-day-traders","True",100,94,15,9,"All Levels",1,"2015-01-08","Business Finance"
"Basics of Finance and Budgeting","basics-of-finance-and-budgeting","True",20,578,7,34,"Beginner Level",6,"2014-05-19","Business Finance"
"Portfolio Management CFA L1 2016","portfolio-management-cfa-l1","True",20,393,5,34,"All Levels",5,"2015-09-15","Business Finance"
"Trade Stocks Forex & Financial Markets like a Professional","stock-and-forex-trading-strategy-course","True",20,116,6,12,"All Levels",3,"2014-08-28","Business Finance"
"The Tax Advantaged Investor: A Guide to Legal Tax Reduction!","university-of-puerto-rico-mba-student-act-20-act-22-course","False",0,1888,42,25,"All Levels",2,"2015-12-17","Business Finance"
"The Smart Option Trader","the-smart-option-trader","True",45,412,19,74,"All Levels",13,"2013-10-10","Business Finance"
"Beginners Chart Patterns Trading for Penny Stocks","beginners-chart-patterns-for-penny-stocks-part-2","True",200,40,7,26,"Beginner Level",1.5,"2017-02-22","Business Finance"
"Financial Statements: Learn Accounting. Unlock the Numbers.","learn-accounting-unlock-the-numbers","True",40,222,12,35,"Beginner Level",3,"2016-02-17","Business Finance"
"CFA® Level 1 2014 – Alternative Investments","cfa-level-1-2014-alternative-investments","True",30,831,1,13,"All Levels",2,"2014-04-14","Business Finance"
"Interest Rate Swaps","interest-rate-swaps","True",50,485,24,20,"All Levels",3.5,"2014-03-11","Business Finance"
"Financial Modelling for entrepreneurs","financial-modelling-for-entrepreneurs","True",20,232,7,17,"All Levels",1,"2014-09-20","Business Finance"
"Economics - CFA Level 1 - 2014","economics-cfa-level-1-2014","True",20,135,20,24,"Beginner Level",4,"2014-11-08","Business Finance"
"Bookkeeping Made Simple","bookkeeping-made-simple","True",40,61,16,22,"All Levels",2.5,"2015-07-16","Business Finance"
"What is Bitcoin","what-is-bitcoin","True",20,61,3,27,"All Levels",5,"2015-07-09","Business Finance"
"Accounting for CA CPT Exams Part I","inventory-valuation","True",50,874,2,120,"All Levels",13.5,"2014-12-27","Business Finance"
"Raising Capital for Your Business","raising-capital-for-your-business","True",50,22,5,60,"All Levels",2.5,"2015-08-03","Business Finance"
"Silver Gold and Inflation","got-gold-get-gold-inflation","False",0,5597,76,11,"Beginner Level",1,"2013-02-16","Business Finance"
"Accounting Concepts For Technocrats","accounting-concepts-for-technocrats","True",20,261,2,35,"Beginner Level",2.5,"2013-12-26","Business Finance"
"Beginner Financial Analysis: Invest Like Warren Buffett","beginner-financial-analysis-invest-like-warren-buffett","True",50,83,4,19,"Beginner Level",0.68,"2014-03-10","Business Finance"
"Advance Technical Analysis","advance-technical-analysis","True",50,152,6,14,"Expert Level",3.5,"2015-04-08","Business Finance"
"The Everyday Investor: Building Wealth with Venture Capital","the-everyday-investor","True",20,176,2,12,"Intermediate Level",2.5,"2016-06-07","Business Finance"
"QuickBooks Online : Inventory Management For Non-Finance","quickbooks-online-inventory-management-for-non-finance","True",35,8,4,10,"All Levels",0.67,"2017-04-20","Business Finance"
"Law Matters","law-matters","True",20,327,1,12,"Beginner Level",0.45,"2015-03-27","Business Finance"
"Learn to Trade for Profit: Finding Winning Stocks - Chinese","trade-for-profit-how-to-find-and-trade-stocks-successfully-chinese","True",95,264,0,79,"All Levels",3,"2015-10-08","Business Finance"
"Financial Accounting Part 2 - Passing The Class","financial-accounting-part-2-passing-the-class","True",20,15,4,36,"Beginner Level",4.5,"2017-05-01","Business Finance"
"Simple Options Trading System","safe-and-easy-options-trading","True",35,104,2,16,"Intermediate Level",1.5,"2014-07-31","Business Finance"
"Investments and Financial Markets","investments-and-financial-markets","True",40,71,3,19,"Beginner Level",1.5,"2014-07-22","Business Finance"
"Legal Accounting","solicitors-accounts","True",110,26,6,49,"All Levels",4,"2014-09-21","Business Finance"
"Term Loan Appraisal for bankers credit analysts","term-loan-appraisal-for-bankers-credit-analysts","True",20,11,2,28,"Beginner Level",6.5,"2017-04-03","Business Finance"
"Small Biz Doers' Guide to Small Biz Accounting + Bookkeeping","an-entrepreneurs-guide-to-small-biz-bookkeeping","True",20,1294,7,58,"Beginner Level",5.5,"2013-08-28","Business Finance"
"Trade Show Samurai","trade-show-displays","True",95,32,7,7,"All Levels",0.52,"2013-08-29","Business Finance"
"Forex Harmonic Trading- With Multiple Forex Chart Examples","forex-harmonic-trading-with-multiple-examples","True",135,313,16,25,"All Levels",2.5,"2016-11-28","Business Finance"
"The Cost of Capital: The Key To Attract Venture Capitalists","the-cost-of-capital-and-the-evaluation-of-ideas","True",50,635,4,6,"All Levels",0.68,"2016-03-22","Business Finance"
"Accounting for School Students","cash-books-in-accountancy","True",30,1311,2,12,"All Levels",1.5,"2015-05-22","Business Finance"
"Learn To Trade The Forex Naked Price Action Acapulco Trade","forex-naked-price-action-acapulco-trade","True",70,288,9,13,"Intermediate Level",1,"2016-01-25","Business Finance"
"Certificate in MYOB AccountRight Premier 2017 Course","certificate-in-myob-accountright-premier-2016-valued-1250","True",200,97,18,29,"All Levels",3,"2016-03-10","Business Finance"
"Master The Psychology of Forex & Binary Options Trading","master-the-psychology-of-forex-binary-options-trading","True",20,53,16,7,"Intermediate Level",1,"2016-07-04","Business Finance"
"Learn to Pick the Right Stock Broker Account","learn-to-pick-the-right-stock-broker-account","True",40,1102,3,14,"Beginner Level",0.57,"2014-12-24","Business Finance"
"Profit During Crashing Markets: A Step-by-Step Guide","profit-during-crashing-markets-a-step-by-step-guide","True",195,57,11,18,"All Levels",1,"2016-05-16","Business Finance"
"Introduction to Futures & Options","introduction-to-futures-options","True",50,694,35,27,"All Levels",4.5,"2014-03-11","Business Finance"
"Learn To Invest In 7 Steps","learn-to-invest","True",50,137,14,21,"Beginner Level",3,"2015-03-29","Business Finance"
"Sell like a Pro: Insider Secrets of Successful Selling!","sell-like-a-pro-inside-secrets-of-successful-selling-y","True",115,12,1,25,"All Levels",2.5,"2016-11-01","Business Finance"
"3 Little Pigs: A Multiple Timeframe Forex Trading Strategy","3-little-pigs-a-multiple-timeframe-forex-trading-strategy","True",20,18,0,6,"All Levels",1.5,"2017-02-24","Business Finance"
"6. Annuities Due and Deferred","annuities-due-and-deferred","True",20,170,0,16,"All Levels",1.5,"2014-02-24","Business Finance"
"CFA® Level 1 2014 – Quantitative Methods","cfa-level-1-2014-quantitative-methods","True",50,119,0,27,"All Levels",5,"2015-02-26","Business Finance"
"IFRIC 13-Customer Loyalty Programmes (Revenue)","ifric-13-customer-loyalty-programmes-revenue","False",0,2058,22,6,"All Levels",0.6,"2014-07-05","Business Finance"
"FOREX Currency Trading For Beginners","forex-currency-trading-for-beginners","True",25,35,2,28,"Beginner Level",4,"2014-06-17","Business Finance"
"Basic Technical Analysis","basic-technical-analysis","True",50,40,1,27,"Beginner Level",2.5,"2015-08-05","Business Finance"
"Forex:Trade Management & Psychology","forexmoney-management-psychology","True",150,13,0,19,"Intermediate Level",2,"2016-09-21","Business Finance"
"Working Capital assessment for bankers credit analysts","working-capital-assessment-for-bankers-credit-analysts","True",20,4,0,29,"Beginner Level",7,"2017-04-06","Business Finance"
"CFA Level I Workshop 6: Alternatives PM and Economics ","cfa-workshop-6","True",20,71,1,5,"All Levels",1,"2013-08-12","Business Finance"
"CFA Level I Workshop 3: Financial Reporting & Analysis II","cfa-workshop-3","True",20,71,1,5,"All Levels",1,"2013-08-12","Business Finance"
"How to trade in the Forex market","forex-market","True",200,6,0,39,"Intermediate Level",2.5,"2017-03-29","Business Finance"
"Bookkeeping Practicals with Software","bookkeeping-practical-with-software","True",35,1,0,130,"Intermediate Level",31.5,"2017-02-07","Business Finance"
"8 Steps To Achieve Financial Freedom And Escape Debt","achieve-financial-freedom-and-escape-debt","True",40,5,0,48,"Beginner Level",5.5,"2015-11-13","Business Finance"
"Trading Basics in 30 minutes","trading-basics-in-30-minutes","True",50,1,0,6,"Beginner Level",0.53,"2017-02-26","Business Finance"
"Technical Charting","technical-charting","True",20,4,1,6,"Intermediate Level",1,"2015-11-02","Business Finance"
"Profits Turbo","profits-turbo","True",20,10,0,7,"Intermediate Level",5.5,"2013-06-03","Business Finance"
"Nest Egg Investing","nest-egg-secrets","True",45,6,0,12,"Beginner Level",2,"2014-06-27","Business Finance"
"Economics for beginners - Various Concepts","economics-forms-of-market-and-perfect-competition","True",25,2,0,34,"Beginner Level",2.5,"2017-01-02","Business Finance"
"Investing in Stocks & Shares","making-money-from-stocks-shares","True",20,2,0,24,"Beginner Level",2,"2016-05-23","Business Finance"
"Learn Financial Modeling from Scratch - Part 2","learn-financial-modeling-part-2","True",50,2,1,27,"All Levels",3.5,"2016-04-07","Business Finance"
"Learn Financial Modeling from Scratch - Part 3","learn-financial-modeling-part-3","True",50,2,0,22,"All Levels",2,"2016-04-07","Business Finance"
"A Practical Guide to Wealth Creation","wealth-creation","True",35,6,0,7,"All Levels",1,"2016-11-18","Business Finance"
"'Geometry Of Chance strategy of defeating the roulette.""","geometry-of-chance-strategy-of-defeating-the-roulette","True",30,2,1,10,"Intermediate Level",1.5,"2016-06-28","Business Finance"
"Trading Algorítmico en Forex: Crea tu primer Robot de Forex!","aprender-programar-mql4-forex","True",170,206,39,39,"All Levels",6.5,"2016-03-12","Business Finance"
"MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4","mql4-bootcamp-tutorial-trading-robot-coding-in-metatrader4","True",20,313,14,25,"Beginner Level",1,"2015-07-05","Business Finance"
"Introducción a la contabilidad","contabilidad-en-una-hora","True",20,193,19,14,"Beginner Level",1,"2014-12-17","Business Finance"
"Einnahmen aus Udemy-Kursen als Dozent korrekt versteuern","einnahmen-aus-udemy-kursen-als-dozent-korrekt-versteuern","True",30,66,16,11,"Beginner Level",1,"2015-04-09","Business Finance"
"Contabilidad Gubernamental en México","contabilidad-gubernamental","True",30,270,22,24,"All Levels",3.5,"2015-08-14","Business Finance"
"株式投資に必要なスキルの学習手順を学ぶ","jun-sakai-trading-course1","True",20,139,36,29,"Beginner Level",2,"2016-06-09","Business Finance"
"Formação de preços em serviços","formacao-de-precos-em-servicos","True",35,77,5,28,"Intermediate Level",2,"2017-04-26","Business Finance"
"Geld verdienen mit dem Ticken der Uhr wie Warren Buffett!","optionen-kompass-ihr-navi-fur-konstanten-borsenerfolg","True",195,225,41,33,"All Levels",5,"2016-03-30","Business Finance"
"Торговля дельта-нейтральными стренглами","strangles","True",150,23,6,25,"All Levels",1.5,"2016-03-10","Business Finance"
"Guía práctica para comprar acciones en la Bolsa de USA","guia-practica-para-comprar-acciones-en-la-bolsa-de-usa","False",0,4876,210,36,"Intermediate Level",4.5,"2014-09-11","Business Finance"
"Contabilidad Financiera: Conoce el Lenguaje de los Negocios.","curso-de-contabilidad-online-contabilidad-financiera","True",20,244,13,21,"Beginner Level",2.5,"2015-06-16","Business Finance"
"Curso de Day Trader para Iniciantes","aprenda-a-realizar-trades-na-bolsa-dos-eua","False",0,1278,200,13,"Beginner Level",1.5,"2016-11-03","Business Finance"
"Curso de Iniciación al Trading","curso-de-iniciacion-al-trading","True",85,31,5,40,"All Levels",10.5,"2015-11-26","Business Finance"
"Complete GST Course For Small and Medium Enterprises","complete-gst-course-for-small-and-medium-enterprises","True",75,8,0,45,"Beginner Level",6,"2017-06-14","Business Finance"
"3 documentos clave para administrar tu empresa con éxito","3-documentos-clave-para-administrar-tu-empresa-con-exito","True",45,40,6,18,"Intermediate Level",1,"2013-05-16","Business Finance"
"ForexOpciones Binarias para Principiantes","forexopciones-binarias-para-principiantes/","True",25,9,5,9,"Beginner Level",2,"2016-04-01","Business Finance"
"15 Mandamientos para ganar dinero en Bolsa","15-mandamientos-para-ganar-dinero-en-bolsa","True",20,45,2,49,"All Levels",8.5,"2014-10-14","Business Finance"
"Le bitcoin et la blockchain","le-bitcoin-et-la-blockchain","True",80,13,3,12,"All Levels",0.73,"2017-03-13","Business Finance"
"Contabilità Generale","contabilita-generale","True",200,4,1,40,"All Levels",8.5,"2017-05-29","Business Finance"
"Торговля опционами: Как заработать на волатильности","optiontrading","True",150,20,5,29,"All Levels",2,"2016-02-25","Business Finance"
"Estrategias de Inversión aplicadas al mundo del trading","estrategias-de-inversion","True",20,9,2,25,"All Levels",3,"2016-05-26","Business Finance"
"バイナリーオプション取引","binaryoptiontrainingprogram","True",85,29,3,24,"All Levels",0.65,"2016-11-28","Business Finance"
"Caza los Enormes Movimientos del Mercado","caza-los-enormes-movimientos-del-mercado","True",20,6,2,13,"All Levels",1.5,"2015-11-12","Business Finance"
"Le basi del trading online","le-basi-del-trading-online","True",45,7,1,27,"Beginner Level",3.5,"2017-05-31","Business Finance"
"自分に合った投資信託を見つけよう！","kabucom_toushin","True",25,859,49,23,"Beginner Level",2,"2017-03-31","Business Finance"
"Monatlich Geld anlegen für später!","monatlich-geld-anlegen","True",30,5983,135,7,"Beginner Level",0.62,"2015-10-06","Business Finance"
"Invierte en la Bolsa Mexicana y de USA","invierte-en-la-bmv","True",200,1673,547,40,"Beginner Level",5.5,"2015-08-10","Business Finance"
"Gestão Financeira Para Pequenas e Médias Empresas","gestao-financeira","True",115,1284,230,45,"All Levels",4.5,"2016-01-29","Business Finance"
"Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin","curso-bitcoin","True",30,394,109,73,"All Levels",5.5,"2017-02-06","Business Finance"
"Tudo sobre Investimentos em Renda Fixa","tudo-sobre-investimentos-em-renda-fixa","True",45,689,145,16,"All Levels",2,"2016-08-22","Business Finance"
"Aprende a invertir sin capital","aprende-a-invertir-sin-capital","True",130,649,37,29,"Beginner Level",1.5,"2017-05-01","Business Finance"
"Apprendre à trader sur le marché du Forex - guide complet","apprendre-a-trader-sur-le-marche-du-forex-guide-complet","True",140,187,47,38,"Beginner Level",3,"2017-03-07","Business Finance"
"Introducción a las Finanzas","introduccion-a-las-finanzas","True",30,1798,40,15,"Beginner Level",1.5,"2015-01-27","Business Finance"
"Finanzielle Unabhängigkeit-1: Erste Schritte zur Million","finanzielle-unabhaengigkeit-1-erste-schritte-zur-million","True",20,465,51,28,"Beginner Level",1,"2016-09-12","Business Finance"
"Forex para Principiantes-Ejemplos en VIVO de Trading Real","forex-espanol","True",140,813,94,52,"Beginner Level",5,"2015-10-05","Business Finance"
"Finanzielle Unabhängigkeit-3 Millionär werden mit Immobilien","finanzielle-unabhaengigkeit-3-millionaer-werden-mit-immobilien","True",20,326,23,14,"Expert Level",1,"2016-09-12","Business Finance"
"Introduction to Health Financing","introduction-to-health-financing","True",85,26,1,17,"Beginner Level",2,"2016-05-17","Business Finance"
"Accounting Cycle: Learn the concepts in 60 minutes","accounting-cycle-in-60-minutes","True",20,26,3,14,"All Levels",1,"2016-01-26","Business Finance"
"Optimize! Make Best Decisions with Microsoft Excel","optimize","True",20,28,3,14,"Expert Level",1,"2015-04-01","Business Finance"
"Understanding The Stock Market: For Beginners","understanding-the-stock-market-a-beginners-course","True",25,122,2,36,"Beginner Level",7.5,"2014-11-18","Business Finance"
"CFA® Level 1 2014 – FI","cfa-level-1-fixed-income","True",40,149,0,49,"All Levels",4.5,"2015-03-08","Business Finance"
"9. Sinking Funds","sinking-funds","True",20,205,1,5,"All Levels",1,"2014-02-11","Business Finance"
"Managerial Accounting - The Ultimate Beginner Course!","managerial-accounting-the-ultimate-beginner-course","True",100,11,0,121,"Beginner Level",11,"2017-04-13","Business Finance"
"Forex Trading for Beginners Vol 1:A Forex Course Made Simple","forex-trading-for-beginners-vol-1a-forex-course-made-simple","True",175,3,0,27,"Beginner Level",1,"2017-07-04","Business Finance"
"Accounting - Basic Costing ","basic-costing","True",40,108,2,37,"Beginner Level",3.5,"2015-08-04","Business Finance"
"Double Your Salary With Free Local Job Training Courses","how-to-search-the-internet-to-get-free-training-education","True",20,8,1,8,"All Levels",1,"2017-04-17","Business Finance"
"Financial Modeling - Facebook Case Study","financial-modeling-facebook-case-study_in_excel","True",25,9,3,13,"All Levels",1.5,"2013-10-02","Business Finance"
"Understanding Financial Derivatives","understanding-financial-derivatives","True",20,16,1,11,"Intermediate Level",2,"2017-03-24","Business Finance"
"Forex Basics: Learn how to read and analyze Forex charts","forex-basics-c","True",195,11,0,45,"Beginner Level",4.5,"2016-09-22","Business Finance"
"Forex - Help I cant Trade","forex-help-i-cant-trade","True",200,12,0,20,"All Levels",2,"2016-10-18","Business Finance"
"Start-up financial modeling for non-finance professionals","start-up-financial-modeling-for-non-finance-professionals","True",20,11,0,19,"All Levels",4,"2016-06-20","Business Finance"
"The Fast Route to a Faster Financial Close","faster-financial-close","True",50,2,0,8,"Intermediate Level",1.5,"2017-06-23","Business Finance"
"Easy Finance For Startups","easy-finance-for-startups","True",50,9,4,6,"Beginner Level",0.67,"2016-10-16","Business Finance"
"Excel 4 Accounting & Bookkeeping - Master DateTime & Text","excel-4-accounting-bookkeeping-master-date-time-text","True",35,15,1,12,"All Levels",1,"2016-06-27","Business Finance"
"Depreciation Amortization and Depletion","depreciation-amor","True",25,7,1,13,"Intermediate Level",1,"2017-03-06","Business Finance"
"Breakeven Analysis and Pricing","breakeven-analysis-and-pricing","True",20,27,2,10,"All Levels",1,"2014-09-22","Business Finance"
"Tally ERP Complete Training in Urdu  Hindi","tally-erp-complete-training-in-urdu/","True",30,5,2,51,"All Levels",5,"2017-02-02","Business Finance"
"Accounting Simplified","accounting-simplified","True",30,3,0,41,"All Levels",8.5,"2017-05-03","Business Finance"
"Series 7: Intermediate Options","series-7-intermediate-options","True",55,5,0,11,"Intermediate Level",1,"2017-04-17","Business Finance"
"Accounting and Business Basics","accounting-and-business-basics","True",200,5,0,10,"All Levels",2,"2017-01-19","Business Finance"
"Corso introduttivo al trading profittevole","corso-introduttivo-al-trading-profittevole","True",20,132,9,9,"Beginner Level",1,"2015-11-23","Business Finance"
"Aprende a Ganar Dinero en la Bolsa","aprende-a-ganar-dinero-en-la-bolsa","True",30,112,16,42,"All Levels",4,"2013-12-11","Business Finance"
"Inversión: Fundamentos del Trading para Principiantes","dinero-aprende-trading-y-se-exitoso","True",125,285,6,18,"Beginner Level",1.5,"2015-10-26","Business Finance"
"Gana en la Bolsa con Análisis Técnico","curso-basico-de-interpretacion-de-la-bolsa-mediante-graficos","True",25,91,11,35,"Beginner Level",8.5,"2014-01-29","Business Finance"
"Precificação - Calculando valor de venda baseado nos custos","formacao-de-precos-em-projetos","True",35,32,3,46,"All Levels",3,"2017-04-19","Business Finance"
"Cómo ganar dinero invirtiendo en bolsa","como-ganar-dinero-invirtiendo-en-bolsa","False",0,2740,306,10,"Beginner Level",2,"2016-04-02","Business Finance"
"Investiere in Tax Liens-Hohe Zinsen gesetzl. festgeschrieben","investiere-online-und-erhalte-zinsen-von-25-in-dollar","True",20,59,11,7,"All Levels",1.5,"2015-02-25","Business Finance"
"Investimento em Ações","investimento-em-acoes","True",20,16,4,27,"Beginner Level",4.5,"2017-03-27","Business Finance"
"Excelを使ってビジネスシミュレーション：基礎編","excel-zw","True",85,22,5,47,"Beginner Level",5,"2017-05-18","Business Finance"
"Estrategias de trading en bolsa","diferentes-opciones-de-trading-en-bolsa","True",25,15,2,14,"All Levels",2,"2016-12-10","Business Finance"
"Grundlagen der finanziellen Unabhängigkeit","grundlagen-der-finanziellen-unabhangigkeit","False",0,1059,96,9,"All Levels",1.5,"2016-04-21","Business Finance"
"Wie Du Dir auch mit kleinen Beträgen ein Vermögen aufbaust","wie-du-dir-auch-mit-kleinen-betragen-ein-vermogen-aufbaust","True",70,187,3,53,"All Levels",7,"2016-12-14","Business Finance"
"Corporate Ethics","corporate-ethics","True",100,0,0,13,"Beginner Level",3.5,"2017-07-03","Business Finance"
"CFA Level 2- Quantitative Methods","cfa-level-2-quantitative-methods","True",40,0,0,35,"All Levels",5.5,"2017-07-02","Business Finance"
"Core Financial Statement Concepts","financial-statement-concepts","True",50,0,0,9,"Intermediate Level",1.5,"2017-06-28","Business Finance"
"Understand Core Finance Principles in 60 Minutes","core-finance-principles-in-60-minutes","True",75,0,0,13,"Beginner Level",2.5,"2017-06-29","Business Finance"
"Learn Wave accounting to maintain books properly","learn-wave-accounting-to-maintain-books-properly","False",0,1089,50,27,"All Levels",3,"2016-01-13","Business Finance"
"Making Tax Digital - UK HMRC Legislation Explained","making-tax-digital","False",0,743,0,7,"All Levels",1,"2017-06-06","Business Finance"
"Surviving Introduction to Finance","surviving-introduction-to-finance","False",0,1362,7,13,"Beginner Level",3,"2014-02-06","Business Finance"
"Cost of Capital and Weighted Average Cost of Capital","weighted-average-cost-of-capital-wacc","False",0,405,3,22,"All Levels",1,"2016-04-11","Business Finance"
"Studying the CFA Program exams (Mandarin language version)","studying-the-cfa-mandarin","False",0,1168,9,5,"All Levels",0.67,"2014-04-09","Business Finance"
"Condor Broken Wing Butterfly Options Trading Course System","condor-broken-wing-butterfly-options-trading-course-system","False",0,16,0,15,"All Levels",1.5,"2017-07-06","Business Finance"
"≪虎の巻≫証券取引の「税金のお悩み」解消","kabucom_zeise","True",25,3840,296,33,"Intermediate Level",1.5,"2017-02-21","Business Finance"
"【１日でマスター！】今日からはじめる資産形成","kabucom_start","True",20,7183,819,14,"Beginner Level",1,"2017-01-19","Business Finance"
"TRADING FOR A LIVING: Trading Full-Time Transition Guide","trading-for-a-living-full-time-trader","True",195,483,10,40,"Intermediate Level",3.5,"2015-11-06","Business Finance"
"Learn How To use Channels to find amazing Forex Entries","learn-how-to-use-channels-to-find-amazing-forex-entries","True",45,172,48,15,"All Levels",1,"2017-05-24","Business Finance"
"Financial Analysis from Scratch to Professional!","financial-analysis-from-scratch-to-professional-level","True",65,256,29,39,"Beginner Level",3.5,"2016-03-06","Business Finance"
"Cost Accounting Labour Costing (Professional Course Level)","labour-costing","True",20,1542,1,24,"All Levels",2,"2015-04-20","Business Finance"
"Learn How To Successfully Trade Forex: In 5 Simple Steps","learn-how-to-successfully-trade-forex-in-5-simple-steps","True",95,64,7,44,"All Levels",8.5,"2017-05-03","Business Finance"
"The Intelligent Investor","the-intelligent-investor","True",30,384,40,44,"All Levels",10.5,"2015-08-27","Business Finance"
"Succeed in Futures Even if You Don't Know Where to Start","succeed-in-futures-even-if-you-dont-know-where-to-start","False",0,3014,19,15,"All Levels",1,"2017-01-03","Business Finance"
"Binary Options Beginners Guide : Nadex","binary-options","True",40,454,52,39,"Beginner Level",2,"2015-01-09","Business Finance"
"Trading: From Wall Street to Your Street","from-wall-street-to-your-street","True",50,312,24,37,"Intermediate Level",5.5,"2014-12-18","Business Finance"
"Build your own Naked Trading Forex Robot","build-your-own-naked-trading-forex-robot","True",40,315,28,19,"All Levels",2,"2015-08-11","Business Finance"
"Tax Preparation: Learn Fast! Prepare Taxes with Confidence!","taxpreparation","True",200,609,32,33,"All Levels",2.5,"2016-01-12","Business Finance"
"Tax Strategies of the Wealthy","everything-you-need-to-know-about-taxes","True",195,207,19,11,"Beginner Level",1.5,"2016-04-29","Business Finance"
"The Ultimate Fibonacci Trading Plan for Forex and Stocks","fibonacci-trading-strategy","True",200,399,15,15,"All Levels",1,"2016-08-19","Business Finance"
"Finance and Accounting for Startups","finance-and-accounting-for-startups","True",50,1175,92,75,"All Levels",12.5,"2013-01-15","Business Finance"
"Forex - Calculate Lot Size Like Pro","forex-calculate-lot-size-like-pro","True",20,543,14,11,"All Levels",0.6,"2016-06-21","Business Finance"
"The Complete Forex Trader","forextrader","True",25,1634,142,46,"All Levels",7,"2012-10-01","Business Finance"
"Tape Reading: Learn how to read the tape for day trading","tape-reading-101-learn-how-to-read-the-tape-for-day-trading","True",195,1013,128,32,"All Levels",14,"2014-03-27","Business Finance"
"4 Easy Daily Forex Trades: A Recipe for Trading Success","4dailytrades","True",200,319,19,12,"All Levels",1,"2016-11-17","Business Finance"
"Trading Robot Forex Programs in Your Sleep in Live Examples!","trading-robot-forex-programs-in-your-sleep-in-live-examples","True",200,1125,11,18,"Expert Level",1.5,"2016-01-28","Business Finance"
"Free Options 101 - Basic of Call and Put Options in 1 Hours","free-options-101-basic-of-call-and-put-options-in-1-hours","False",0,2481,71,26,"All Levels",1.5,"2016-08-22","Business Finance"
