"course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
"The Complete Financial Analyst Course 2017","the-complete-financial-analyst-course","True",195,24481,2347,174,"All Levels",10,"2016-01-21","Business Finance"
"Python for Finance: Investment Fundamentals & Data Analytics","python-for-finance-investment-fundamentals-data-analytics","True",195,3811,278,103,"All Levels",6.5,"2017-03-30","Business Finance"
"Financial Modeling for Startups & Small Businesses","financial-modeling-for-startups-small-businesses","True",195,4991,137,79,"Beginner Level",11.5,"2017-03-29","Business Finance"
"Options Trading - How to Win with Weekly Options","work-from-home-setup-your-own-options-trading-business","True",115,7489,1190,25,"Intermediate Level",1,"2015-10-22","Business Finance"
"Black Algo Trading: Build Your Trading Robot","build-your-trading-robot","True",200,20195,1113,227,"All Levels",16,"2014-10-27","Business Finance"
"Accounting & Financial Statement Analysis: Complete Training","accounting-fsa-a-solid-foundation-for-a-career-in-finance","True",150,10042,594,43,"All Levels",3,"2015-10-22","Business Finance"
"Cryptocurrency Trading: Complete Guide To Trading Altcoins","cryptocurrency-trading","True",95,367,42,35,"All Levels",5,"2017-06-21","Business Finance"
"Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!","backtesting","True",200,10603,872,42,"All Levels",5.5,"2014-10-12","Business Finance"
"Three Steps Trading - Live Trading - Real Account","three-steps-trading-live-trading-real-account","True",190,1197,11,46,"All Levels",5,"2017-05-24","Business Finance"
"Option Trading for Rookies:  Understand Options Completely","complete-course-introduction-to-option-trading","True",150,2893,65,62,"All Levels",2,"2016-08-10","Business Finance"
"How I Learned Stock Trading (and How You Can Too)","best-stock-traders","True",200,1580,12,53,"Expert Level",2,"2017-05-02","Business Finance"
"Learn to Trade for Profit: Find and Trade Winning Stocks","trading-stocks-successfully-introduction-to-stock-trading","True",95,10605,71,77,"All Levels",3,"2014-10-24","Business Finance"
"Trading Inside Bars - Master 1 Easy Pattern To Be Successful","trading-inside-bars-find-setups-today-make-money-tomorrow","True",125,2996,200,23,"Intermediate Level",2,"2015-03-09","Business Finance"
"Four Fundamentals of Financial Planning","four-fundamentals-of-financial-planning","True",30,6219,23,20,"All Levels",1,"2017-02-14","Business Finance"
"Options Trading - Calendar Spread Course for Every Trader","options-trading-calendar-spread-course-for-every-trader","True",200,1113,11,17,"All Levels",1.5,"2017-04-02","Business Finance"
"Dividend Investing: Build Your Portfolio for a Better Future","dividend-investing","True",60,8314,83,47,"Beginner Level",4,"2015-01-24","Business Finance"
"Learn Accounting. Understand Business.","learn-accounting-understand-business","True",200,5572,123,33,"Beginner Level",5.5,"2014-03-27","Business Finance"
"How to Consistently Win Trading Stocks in 30 Days or Less","winningstocktrades","True",145,1433,169,15,"Intermediate Level",1,"2016-05-09","Business Finance"
"A Beginner's Guide to Quantopian Futures API","quantopian-futures","True",20,936,6,11,"Intermediate Level",1.5,"2017-04-11","Business Finance"
"How to Buy Cheap Options - Options Trading Pricing Model","options-black-scholes-model","True",200,658,2,19,"All Levels",1,"2017-06-02","Business Finance"
"Excel Crash Course: Master Excel for Financial Analysis","excel-crash-course-master-excel-for-financial-analysis","True",105,8121,689,40,"All Levels",3.5,"2016-10-18","Business Finance"
"Comprehensive Guide to Financial Markets Investing &Trading","financial-markets-a-to-z-for-beginners","True",60,4187,600,79,"Beginner Level",9,"2016-02-29","Business Finance"
"Stock Trading Ninja: Complete System For Trading Success","stock-trading-ninja-learn-how-to-make-money-trading-stocks","True",155,9445,497,38,"All Levels",4.5,"2014-02-19","Business Finance"
"Hedge and Mutual Fund Careers: The Complete Guide","hedge-fund-mutual-fund-careers-the-complete-guide-how-to-pick-stocks","True",200,3255,340,102,"All Levels",8.5,"2016-06-20","Business Finance"
"Algorithmic Trading In Forex: Create Your First Forex Robot!","learn-mql4","True",185,7941,713,40,"All Levels",6.5,"2014-08-11","Business Finance"
"The Power Modeling Bootcamp: Advanced Excel in 10 Days","the-power-modeling-bootcamp-advanced-excel-in-10-days","True",150,1680,158,76,"All Levels",5.5,"2016-11-26","Business Finance"
"Options Trading Basics (3-Course Bundle)","learn-options-trading-courses","True",180,10100,985,45,"Beginner Level",11,"2013-02-25","Business Finance"
"How to Win 97% of Your Options Trades","how-to-win-97-percent-of-your-trades","True",125,5050,461,26,"All Levels",1.5,"2015-02-10","Business Finance"
"How I Make Consistent Returns Trading Options","how-i-make-15-per-month-trading-options","True",200,2310,162,26,"All Levels",3.5,"2016-10-05","Business Finance"
"Forex Strategies: Kelly Criterion Larry Williams and more!","money-management","True",185,5528,506,32,"All Levels",3,"2015-02-19","Business Finance"
"Elite Trend Trader: Learn To Trade Stocks Options & Forex","elite-trend-trader-how-to-make-a-fortune-trading-the-trend","True",125,6451,237,28,"All Levels",5,"2014-04-16","Business Finance"
"Options Trading Introduction: Day Trade Stock Options","how-to-trade-stock-options-level-1-start-day-trading","True",95,12394,218,30,"Beginner Level",2.5,"2015-02-20","Business Finance"
"The Almost Perfect Options Trading Strategy System - Unique","the-almost-perfect-options-trading-strategy-system-unique","True",200,1793,18,15,"All Levels",1,"2017-03-03","Business Finance"
"Forex Trading -  Learn to Trade Forex Like the Banks","forex-trading-learn-the-same-strategies-used-by-banks","True",20,3223,240,23,"All Levels",1,"2016-03-30","Business Finance"
"Learn to Trade for Profit:Trading with Japanese Candlesticks","introduction-to-japanese-candlesticks","True",60,16385,273,45,"Beginner Level",3,"2014-09-02","Business Finance"
"The Most Powerful Options Spread Trading Front Ratio Spread","the-most-powerful-options-spread-trading-front-ratio-spread","True",200,1487,16,18,"All Levels",2,"2017-03-08","Business Finance"
"What Finance Job is for You? Explanation of 14 Finance Roles","what-finance-job-is-for-you-explanation-of-14-financial-analyst-roles","True",200,2951,232,60,"All Levels",4,"2016-05-04","Business Finance"
"The Blueprint for Successful Stock Trading","stock-market-millionaire-blueprint","True",120,2697,331,15,"All Levels",1,"2015-08-13","Business Finance"
"Trading for Beginners - Intermediate Level","trading-for-beginners-tier-2","True",150,3979,40,39,"Beginner Level",5,"2016-11-09","Business Finance"
"Start Trading Stocks Using Technical Analysis!","professional-stock-trader","True",25,3190,244,45,"All Levels",4,"2016-02-03","Business Finance"
"Learn How to Set Up an Incubator Hedge Fund - Step-by-Step","hedge-fund-startup","True",200,1406,71,54,"Expert Level",1.5,"2017-01-18","Business Finance"
"VPS for Forex Trading - Protect Your Forex Robots","forex-vps","True",160,4252,225,24,"All Levels",2,"2014-09-19","Business Finance"
"Introduction to Accounting: The Language of Business","learnaccountingforfree","True",20,11958,370,134,"Beginner Level",11.5,"2014-10-02","Business Finance"
"Basic Excel for Basic Bookkeeping and Accounting","basic-excel-for-basic-bookkeeping","True",95,7743,340,33,"Beginner Level",1.5,"2015-09-10","Business Finance"
